Count,Sl.No.,Name of the Issuer,Initial Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
2134,2134,PRAGATI AGRI PRODUCTS PRIVATE LIMITED,SMERA BBB-/SMERA A3,03-Aug-16,SMERA BBB/SMERA A3+,07-Dec-17,,,,,,,,
2135,2135,PRAGATI ELECTRICAL PRIVATE LIMITED,SMERA BB/SMERA A4+,10-Dec-16,Indicative,10-Jan-18,,,,,,,,
2136,2136,PRAGYA WOODS PRIVATE LIMITED,SMERA B,11-Apr-16,,,,,,,,,,
2137,2137,PRAHLAD FLOUR MILLS PRIVATE LIMITED,SMERA BB,25-Feb-17,Indicative,27-Feb-18,,,,,,,,
2138,2138,PRAJAPATI DEVELOPERS,SMERA B,29-May-15,Suspended,30-Jun-16,,,,,,,,
2139,2139,PRAKASH FERROUS INDUSTRIES PRIVATE LIMITED,SMERA BBB-/SMERA A3,04-Oct-17,,,,,,,,,,
2140,2140,PRAKASH GOLD PALACE PRIVATE LIMITED,SMERA BBB+,16-Jul-15,SMERA BBB,21-Oct-16,,,,,,,,
2141,2141,PRAKASH IMPEX,SMERA BB-,30-Nov-16,,,,,,,,,,
2142,2142,PRAKASH TEXTILES,SMERA B+,09-Apr-15,Suspended,27-Jun-16,SMERA B+,16-Aug-16,,,,,,
2143,2143,PRAKASH TEXTILES (NOIDA),SMERA A4,31-May-16,Indicative,27-Sep-17,,,,,,,,
2144,2144,PRAKASH WHITEGOLD GINNERS PRIVATE LIMITED,SMERA B,22-Mar-17,,,,,,,,,,
2145,2145,PRAKSHI INFRAESTATE PRIVATE LIMITED,SMERA BB-,20-Feb-17,,,,,,,,,,
2146,2146,PRAMUKH PAPER PRODUCTS PRIVATE LIMITED,SMERA B-,19-Apr-17,,,,,,,,,,
2147,2147,PRARAS BIO SCIENCES PRIVATE LIMITED,SMERA BB-,01-Feb-17,,,,,,,,,,
2148,2148,PRASOL CHEMICALS PRIVATE LIMITED,SMERA BBB+/SMERA A2+,06-Aug-14,SMERA A-/SMERA A1,18-May-16,SMERA A/SMERA A1,22-Sep-17,,,,,,
2149,2149,PRASSANNA SPINNING MILLS PRIVATE LIMITED,SMERA BBB-,23-Jan-14,,,,,,,,,,
2150,2150,PRATAP SYNTHETICS LIMITED,SMERA BB+/SMERA A4+,20-Dec-16,Indicative,17-Mar-18,,,,,,,,
2151,2151,PRATHAM CONSTRUCTION,SMERA B+,18-Dec-13,Withdrawn,16-Mar-17,,,,,,,,
2152,2152,PRATHYUSHA RESOURCES & INFRA PRIVATE LIMITED,SMERA D,10-Nov-14,Indicative,16-May-17,,,,,,,,
2153,2153,PRATIK ALLOYS PRIVATE LIMITED,SMERA B+/SMERA A4,01-Feb-17,,,,,,,,,,
2154,2154,PRATIKSHA GEMS,SMERA B+,21-Mar-17,,,,,,,,,,
2155,2155,PRAVENA CREATIONS,SMERA B+/SMERA A4,17-Aug-17,,,,,,,,,,
2156,2156,PRAVESH CONSTRUCTION,SMERA BB-/SMERA A4+,23-Dec-16,Indicative,20-Mar-18,,,,,,,,
2157,2157,PRECIOUS INFRA PROJECTS PRIVATE LIMITED,SMERA B,17-Nov-17,,,,,,,,,,
2158,2158,PRECISION AUTOWARES PRIVATE LIMITED,SMERA BB/SMERA A4+,25-Mar-14,Suspended,29-May-15,,,,,,,,
2159,2159,PRECISION INFRATECH LIMITED,SMERA BB+/SMERA A4+,25-Sep-17,,,,,,,,,,
2160,2160,PRECON TECHNOLOGY AND CASTING LIMITED,SMERA B/SMERA A4,27-Feb-14,Suspended,01-Jun-15,,,,,,,,
2161,2161,PREET MACHINES LIMITED,SMERA BB+/SMERA A4+,15-Mar-17,,,,,,,,,,
2162,2162,PREMIER COTSPIN LIMITED,SMERA B+,24-Nov-17,,,,,,,,,,
2163,2163,PREMIER PLASTIC INDUSTRIES,SMERA BB/SMERA A4+,19-Sep-17,,,,,,,,,,
2164,2164,PREMIUM CHICK FEEDS PRIVATE LIMITED,SMERA BBB,12-Aug-15,SMERA BBB+/SMERA A2,18-Feb-17,,,,,,,,
2165,2165,PREMIUM SERUMS AND VACCINES PRIVATE LIMITED,SMERA BB+,31-Aug-15,SMERA B+,12-Mar-18,,,,,,,,
2166,2166,PRERONA INFRASTRUCTURE PRIVATE LIMITED,SMERA D,22-Dec-15,Indicative,13-May-17,,,,,,,,
2167,2167,PRESS TECH ENGINEERING INDIA PRIVATE LIMITED,SMERA B,20-Sep-16,Indicative,11-Dec-17,,,,,,,,
2168,2168,PRIESKA REAL ESTATES PRIVATE LIMITED,SMERA C,26-Apr-13,SMERA D,06-Jan-14,Suspended,21-Oct-15,,,,,,
2169,2169,PRIME CAR PRIVATE LIMITED,SMERA BB-,31-Jul-17,,,,,,,,,,
2170,2170,PRIME CIVIL INFRASTRUCTURES PRIVATE LIMITED,SMERA BB/SMERA A4+,11-Aug-16,Indicative,15-Jan-18,,,,,,,,
2171,2171,PRIME ENTERPRISES,SMERA B,13-Oct-14,Suspended,11-Jan-16,,,,,,,,
2172,2172,PRIME STRIPS PRIVATE LIMITED,SMERA B-,10-Jan-14,Suspended,29-Dec-15,,,,,,,,
2173,2173,PRIMO FASHIONS,SMERA BB-/SMERA A4+,22-Mar-18,,,,,,,,,,
2174,2174,PRINCE CONTAINERS PRIVATE LIMITED,SMERA BB-/SMERA A4+,24-Nov-17,,,,,,,,,,
2175,2175,PRINCE GINNING AND PRESSING PRIVATE LIMITED,SMERA B/SMERA A4,23-Mar-16,Indicative,18-Aug-17,,,,,,,,
2176,2176,PRINCE LAMINATES,SMERA B,06-Nov-15,Indicative,08-Feb-17,,,,,,,,
2177,2177,PRINCE MULTIPLAST PRIVATE LIMITED,SMERA BB-/SMERA A4+,24-Nov-17,,,,,,,,,,
2178,2178,PRINT TEX INDIA,SMERA BBB-,24-Aug-16,Indicative,28-Nov-17,,,,,,,,
2179,2179,PRISTINE ORGANICS PRIVATE LIMITED,SMERA B-,15-Dec-16,Indicative,14-Mar-18,,,,,,,,
2180,2180,PRITHVI INNERWEARS,SMERA BB,01-Jul-16,Indicative,07-Nov-17,,,,,,,,
2181,2181,PRITIKA AUTOCAST LIMITED,SMERA BB/SMERA A4+,26-Mar-18,,,,,,,,,,
2182,2182,PRITIKA INDUSTRIES LIMITED,SMERA BB,26-Mar-18,,,,,,,,,,
2183,2183,PRIYADARSHINI FILAMENTS PRIVATE LIMITED,SMERA BB/SMERA A4+,07-Jul-15,,,,,,,,,,
2184,2184,PRIYANKA COMMUNICATIONS INDIA PRIVATE LIMITED,SMERA A-/SMERA A2+,15-Dec-17,,,,,,,,,,
2185,2185,PRO MEDIA TRADING PRIVATE LIMITED (PREVIOUSLY KNOWN AS,PSRMOE RMAE BDBIA+),01-Jul-15,SMERA BB+/SMERA A4+,06-Sep-16,Indicative,07-Dec-17,SMERA BB/SMERA A4+,27-Dec-17,,,,
2186,2186,PRO VISUAL AUDIO PRIVATE LIMITED,SMERA B+/SMERA A4,06-May-15,Suspended,07-Jul-16,,,,,,,,
2187,2187,PROFIT SHOE COMPANY PRIVATE LIMITED,SMERA BB,26-Jun-15,Indicative,16-Jan-18,,,,,,,,
2188,2188,PROGRESSION INFONET PRIVATE LIMITED,SMERA BBB-/SMERA A3,09-Jan-16,,,,,,,,,,
2189,2189,PROGRESSIVE CIVIL CONSTRUCTION CO. PRIVATE LIMITED,SMERA BB/SMERA A4+,16-Mar-17,,,,,,,,,,
2190,2190,PROMINENT METAL PRIVATE LIMITED,SMERA B-,12-Jan-15,Suspended,26-Feb-16,,,,,,,,
2191,2191,PROVIDENCE TEXTILES,SMERA B+/SMERA A4,25-May-16,,,,,,,,,,
2192,2192,PRTL ENTERPRISES LIMITED,SMERA BBB-/SMERA A3,11-Nov-16,Indicative,10-Jan-18,,,,,,,,
2193,2193,PULKIT VENEER MILLS PRIVATE LIMITED,SMERA B/SMERA A4,23-Sep-17,,,,,,,,,,
2194,2194,PUNJAB GAS CYLINDERS LIMITED,SMERA B+/SMERA A4,07-Nov-14,Suspended,05-Feb-16,,,,,,,,
2195,2195,PUNJAB GENERAL INDUSTRIES PRIVATE LIMITED,SMERA B+/SMERA A4,21-Apr-14,SMERA BB/SMERA A4+,08-Jul-15,Suspended,20-Oct-16,,,,,,
2196,2196,PUNJAB STAINLESS STEEL INDUSTRIES,SMERA BB/SMERA A4+,23-Jul-15,,,,,,,,,,
2197,2197,PUNNIAMOORTHI PILLAI DEPARTMENT STORE,SMERA BBB-/SMERA A3,29-Dec-17,,,,,,,,,,
2198,2198,PURAN CHAND RICE MILLS PRIVATE LIMITED,SMERA BB-/SMERA A4+,18-Mar-17,,,,,,,,,,
2199,2199,PURITA WATER SOLUTIONS PRIVATE LIMITED,SMERA BB-/SMERA A4,12-Dec-17,,,,,,,,,,
2200,2200,PURPLE CREATION PRIVATE LIMITED,SMERA B+/SMERA A4,22-Jan-16,,,,,,,,,,
2201,2201,PURULIA METAL CASTING PRIVATE LIMITED,SMERA BB+,15-Jul-15,SMERA BB,29-Dec-16,,,,,,,,
2202,2202,PURVI METALS PRIVATE LIMITED,SMERA B+,20-Mar-17,,,,,,,,,,
2203,2203,PVS BUILDERS & DEVELOPERS,SMERA B+,26-Aug-16,SMERA D,24-Nov-17,,,,,,,,
2204,2204,PYARIDEVI CHABIRAJ STEELS PRIVATE LIMITED,SMERA BB-,22-Jul-16,Indicative,28-Oct-17,,,,,,,,
2205,2205,QUADRA INFRATEL SYNERGIES PRIVATE LIMITED,SMERA B+/SMERA A4,06-Mar-18,,,,,,,,,,
2206,2206,QUADRAGEN VET HEALTH PRIVATE LIMITED,SMERA BBB-/SMERA A3,27-Dec-17,,,,,,,,,,
2207,2207,QUALITY SPARES INTERNATIONAL,SMERA A4,04-Oct-16,Indicative,12-Dec-17,,,,,,,,
2208,2208,QUICK SALE,SMERA B/SMERA A4,08-Jul-13,SMERA B+/SMERA A4,06-Oct-15,Indicative,19-Mar-18,,,,,,
2209,2209,QVC INTERNATIONAL PRIVATE LIMITED,SMERA B+/SMERA A4,22-Mar-13,Suspended,11-Jul-14,SMERA B/SMERA A4,03-Jul-17,,,,,,
2210,2210,R AND R IMPEX PRIVATE LIMITED,SMERA A4,20-Jul-15,Suspended,22-Sep-16,SMERA A4,22-May-17,,,,,,
2211,2211,R B K CONSTRUCTIONS PRIVATE LIMITED,SMERA B+/SMERA A4,06-Sep-17,,,,,,,,,,
2212,2212,"R B SETH SHREERAM NARSINGDAS SANKALAPURAM IRON OREMINES",SMERA B+/SMERA A4,23-Jul-13,SMERA BB+/SMERA A4+,06-Jun-14,Suspended,14-Oct-15,,,,,,
2213,2213,R D WEAVETEX PRIVATE LIMITED,SMERA B,08-Mar-16,Indicative,28-Sep-17,,,,,,,,
2214,2214,R D WELD PRODUCTS PRIVATE LIMITED,SMERA BB,27-Jan-16,,,,,,,,,,
2215,2215,R F OVERSEAS PRIVATE LIMITED,SMERA B-,26-Dec-13,Suspended,24-Jun-16,,,,,,,,
2216,2216,R G TIMBER SAW MILLS,SMERA B-/SMERA A4,11-Dec-13,Suspended,16-Feb-15,,,,,,,,
2217,2217,R GANGAIAH AND CO,SMERA BB+/SMERA A4+,04-May-16,SMERA BB/SMERA A4+,08-Dec-17,,,,,,,,
2218,2218,R H AUTOMOBILES PRIVATE LIMITED,SMERA BB-,28-Jan-16,Indicative,16-May-17,,,,,,,,
2219,2219,R K & COMPANY,SMERA A4,27-Feb-15,Suspended,23-May-16,,,,,,,,
2220,2220,R K ASSOCIATES,SMERA BB-/SMERA A4,31-Aug-16,SMERA BB/SMERA A4+,16-Nov-17,,,,,,,,
2221,2221,R K INDUSTRIES,SMERA B,22-Jul-17,,,,,,,,,,
2222,2222,R K METAL & PLASTIC PRIVATE LIMITED,SMERA BB/SMERA A4+,20-Nov-14,,,,,,,,,,
2223,2223,R K R GOLD PRIVATE LIMITED,SMERA BB-/SMERA A4+,02-Nov-17,,,,,,,,,,
2224,2224,R K TECH INDIA PRIVATE LIMITED,SMERA B+/SMERA A4,02-Sep-17,,,,,,,,,,
2225,2225,R KRISHNAMURTHY & CO,SMERA BB/SMERA A4+,24-Apr-17,,,,,,,,,,
2226,2226,R M INFRASTRUCTURE,SMERA B-,16-Sep-17,,,,,,,,,,
2227,2227,R M KNITTERS PRIVATE LIMITED,SMERA BB/SMERA A4+,10-Feb-14,Indicative,11-Oct-17,SMERA BB/SMERA A4+,05-Jan-18,,,,,,
2228,2228,R N METALS,SMERA BB-/SMERA A4,21-Nov-16,SMERA D/SMERA D,06-Feb-18,,,,,,,,
2229,2229,R N TRADING CO,SMERA B,08-Dec-17,,,,,,,,,,
2230,2230,R P EDIBLE OILS PRIVATE LIMITED,SMERA BB/SMERA A4+,15-Dec-16,Indicative,13-Mar-18,,,,,,,,
2231,2231,R P M ENGINEERS INDIA LIMITED,SMERA B+/SMERA A4,10-Mar-17,SMERA BB-/SMERA A4+,09-Mar-18,,,,,,,,
2232,2232,R P METAL SECTIONS PRIVATE LIMITED,SMERA BBB-/SMERA A3,30-Jan-15,Suspended,27-Apr-16,,,,,,,,
2233,2233,R P POLY PACKS PRIVATE LIMITED,SMERA BB/SMERA A4+,26-Dec-16,Indicative,24-Mar-18,,,,,,,,
2234,2234,R R BUSINESS PRIVATE LIMITED,SMERA BB-,20-Jun-16,Indicative,31-Aug-17,,,,,,,,
2235,2235,R R DYEING,SMERA BB,31-Jul-15,,,,,,,,,,
2236,2236,R S TRAVEL AND TOURS INDIA PRIVATE LIMITED,SMERA B+,22-Jun-17,,,,,,,,,,
2237,2237,R W PROMOTIONS PRIVATE LIMITED,SMERA BBB-,09-Mar-16,Indicative,10-Mar-17,,,,,,,,
2238,2238,R Y EXTRUSION PRIVATE LIMITED,SMERA BB,08-Mar-18,,,,,,,,,,
2239,2239,RAADHIKA SHOECRAFTS PRIVATE LIMITED,SMERA BBB-/SMERA A3,15-Dec-17,,,,,,,,,,
2240,2240,RAAG EXPORTS PRIVATE LIMITED,SMERA BB-/SMERA A4+,06-Feb-14,SMERA A4+,21-May-15,Suspended,05-Aug-16,,,,,,
2241,2241,RADHA MADHAV DEVELOPERS,SMERA BB,04-Jul-16,SMERA BB-,26-Jul-17,,,,,,,,
2242,2242,RADHA MARKETING,SMERA BB+,16-Oct-17,,,,,,,,,,
2243,2243,RADHA WINES,SMERA BBB-,16-Oct-17,,,,,,,,,,
2244,2244,RADHADARSHAN PETROPACK LLP,SMERA B,24-Jun-16,SMERA B+,10-Nov-16,Withdrawn,03-Oct-17,,,,,,
2245,2245,RADHAMADHAB COLD STORAGE PRIVATE LIMITED,SMERA B-/SMERA A4,01-Dec-16,Indicative,24-Feb-18,,,,,,,,
2246,2246,RADHESHYAM AGRAWAL,SMERA BBB-/SMERA A3+,09-Mar-17,,,,,,,,,,
2247,2247,RADIANT COAL BENEFICATION PRIVATE LIMITED,SMERA BBB-/SMERA A3,14-Mar-18,,,,,,,,,,
2248,2248,RADIANT UDYOG PRIVATE LIMITED,SMERA C,02-Sep-16,,,,,,,,,,
2249,2249,RADIANT WOVENPLAST PRIVATE LIMITED,SMERA B,21-Dec-17,,,,,,,,,,
2250,2250,RADICAL EDUCATIONAL SOCIETY,SMERA D,09-Mar-15,Indicative,15-Sep-17,,,,,,,,
2251,2251,RADNIK AUTO EXPORTS,SMERA B/SMERA A4,22-Feb-16,,,,,,,,,,
2252,2252,RAFIQ NAIK EXPORTS PRIVATE LIMITED,SMERA BB-/SMERA A4,24-Nov-17,,,,,,,,,,
2253,2253,RAGHAV AGRI-TECH,SMERA BB-,15-Feb-18,,,,,,,,,,
2254,2254,RAGHAVENDRA AUTOMATION PRIVATE LIMITED,SMERA BB-/SMERA A4+,16-Sep-17,,,,,,,,,,
2255,2255,RAHUL INTERNATIONAL PRIVATE LIMITED,SMERA B,17-Dec-13,Suspended,21-Apr-16,SMERA B-,12-Jul-16,Indicative,23-Sep-17,,,,
2256,2256,RAIGARH FOODS AND HOTEL BUSINESS PRIVATE LIMITED,SMERA B+/SMERA A4,20-Jul-17,,,,,,,,,,
2257,2257,RAIGARH ISPAT AND POWER LIMITED,SMERA BBB-/SMERA A3,26-Feb-18,,,,,,,,,,
2258,2258,RAILFAB,SMERA BB-/SMERA A4,29-Aug-14,SMERA BB/SMERA A4+,07-Oct-15,SMERA BB+/SMERA A4+,24-Apr-17,,,,,,
2259,2259,RAILTECH,SMERA BB-/SMERA A4,29-Aug-14,SMERA BB/SMERA A4+,07-Oct-15,SMERA BB+/SMERA A4+,24-Apr-17,,,,,,
2260,2260,RAILTECH INFRAVENTURE PRIVATE LIMITED,SMERA BB+/SMERA A4+,17-Jul-13,SMERA BBB-/SMERA A3,21-Nov-15,SMERA BBB/SMERA A3+,07-Feb-17,SMERA BBB+/SMERA A2,08-Mar-18,,,,
2261,2261,RAINBOW ENTERPRISES,SMERA B+,13-Sep-17,,,,,,,,,,
2262,2262,RAINBOW PACKAGING PRIVATE LIMITED,SMERA BB-/SMERA A4,01-Feb-17,,,,,,,,,,
2263,2263,RAINBOW RICE PRIVATE LIMITED,SMERA BB,05-Nov-15,Indicative,08-Feb-17,SMERA BB-,17-Jan-18,,,,,,
2264,2264,RAINBOW STONES PRIVATE LIMITED,SMERA BB/SMERA A4+,19-Jan-16,,,,,,,,,,
2265,2265,RAJ APIARIES EXIM PRIVATE LIMITED,SMERA BB/SMERA A4+,12-Oct-16,Indicative,16-Jan-18,,,,,,,,
2266,2266,RAJ CHEM PLAST,SMERA BB/SMERA A4+,16-Jul-15,,,,,,,,,,
2267,2267,RAJ EDUCATIONAL TRUST,SMERA BB+,10-Sep-15,Suspended,27-Oct-16,,,,,,,,
2268,2268,RAJ ENGINEERING CO,SMERA BB+/SMERA A4+,26-Sep-17,,,,,,,,,,
2269,2269,RAJ FABRICS,SMERA BB-/SMERA A4+,20-Jun-17,,,,,,,,,,
2270,2270,RAJ FOODS INDUSTRIES,SMERA B+/SMERA A4,04-Mar-17,,,,,,,,,,
2271,2271,RAJ KIRPAL LUMBERS LIMITED,SMERA B/SMERA A4,18-Dec-14,SMERA BB-/SMERA A4+,04-Dec-15,SMERA BB/SMERA A4+,26-Sep-16,,,,,,
2272,2272,RAJ KUMAR JAIN,SMERA B+/SMERA A4,13-Jul-15,SMERA BB-/SMERA A4+,07-Nov-16,Indicative,07-Feb-18,,,,,,
2273,2273,RAJA ENTERPRISES,SMERA B-/SMERA A4,12-Apr-17,,,,,,,,,,
2274,2274,RAJASTHAN DIGITAL TILES PRIVATE LIMITED,SMERA B-/SMERA A4,12-Apr-16,,,,,,,,,,
2275,2275,RAJASTHAN ISPAT UDYOG,SMERA BB-,17-Mar-15,,,,,,,,,,
2276,2276,RAJASTHAN MECHANICAL WORKS LIMITED,SMERA BB/SMERA A4+,18-Jun-15,SMERA B+/SMERA A4,27-Aug-16,Indicative,11-Jan-18,,,,,,
2277,2277,RAJASTHAN POLYTEX PRIVATE LIMITED,SMERA B,28-Apr-17,,,,,,,,,,
2278,2278,RAJASTHAN RAJYA VIDYUT PRASARAN NIGAM LIMITED,SMERA Provisional AA(SO),10-Mar-17,Withdrawn,13-Dec-17,,,,,,,,
2279,2279,RAJASTHAN STATE POWER FINANCE CORPORATION LIMITED,SMERA A(SO),13-Aug-13,Suspended,20-Mar-15,,,,,,,,
2280,2280,RAJASTHAN STATE ROAD TRANSPORT CORPORATION,SMERA A(SO),12-Jun-13,SMERA BB,18-Oct-16,,,,,,,,
2281,2281,RAJDHANI CRAFTS INDUSTRIES PRIVATE LIMITED,SMERA BB-/SMERA A4+,14-Mar-16,SMERA B+/SMERA A4,12-Oct-17,,,,,,,,
2282,2282,RAJENDRA KUMAR AND COMPANY,SMERA BB/SMERA A4+,07-Mar-18,,,,,,,,,,
2283,2283,RAJENDRA SINGH KILEDAR CONSTRUCTIONS PRIVATE LIMITED,SMERA BBB-/SMERA A3,24-Mar-17,,,,,,,,,,
2284,2284,RAJESH EXPORTS LIMITED,SMERA A-/SMERA A2+,09-Jul-14,SMERA A/SMERA A1,09-Oct-15,,,,,,,,
2285,2285,RAJESH KARANTH,SMERA B/SMERA A4,29-May-17,,,,,,,,,,
2286,2286,RAJGAD SAHAKARI SAKHAR KARKHANA LIMITED,SMERA C/SMERA A4,21-Oct-16,,,,,,,,,,
2287,2287,RAJHANS INFRATECH PRIVATE LIMITED,SMERA B-,08-Jun-15,SMERA C,22-Sep-16,Indicative,16-Jan-18,,,,,,
2288,2288,RAJHERAMB PROPERTIES,SMERA BB,08-Sep-16,SMERA BB-,07-Dec-17,,,,,,,,
2289,2289,RAJIV PLASTICS INDUSTRIES,SMERA BB/SMERA A4+,18-Mar-16,,,,,,,,,,
2290,2290,RAJKAMAL BUILDERS INFRASTRUCTURE PRIVATE LIMITED,SMERA A2,11-Apr-16,SMERA A3+,21-Aug-17,,,,,,,,
2291,2291,RAJKRIPAL EXIM PRIVATE LIMITED,SMERA BB-/SMERA A4+,22-Feb-16,,,,,,,,,,
2292,2292,RAJKRIPAL TIMBER INDUSTRIES PRIVATE LIMITED,SMERA BB-/SMERA A4+,18-Apr-17,,,,,,,,,,
2293,2293,RAJLAKSHMI MINERALS,SMERA B-,16-Jun-14,Suspended,14-Oct-15,,,,,,,,
2294,2294,RAJPET ENERGY LLP,SMERA B+/SMERA A4,07-Dec-16,SMERA B,24-Feb-18,,,,,,,,
2295,2295,RAJSHANTI METALS PRIVATE LIMITED,SMERA B/SMERA A4,17-Apr-15,Suspended,02-Jun-16,,,,,,,,
2296,2296,RAJSHREE RECYCLING METALS PRIVATE LIMITED,SMERA B-/SMERA A4,04-Mar-16,Indicative,28-Sep-17,,,,,,,,
2297,2297,RALIN POLYMERS PRIVATE LIMITED,SMERA B/SMERA A4,04-Mar-14,Suspended,07-Jul-15,,,,,,,,
2298,2298,RAM BUILDERS,SMERA B+/SMERA A4,21-Aug-17,,,,,,,,,,
2299,2299,RAM CHANDER AND SONS,SMERA B+/SMERA A4,23-Aug-17,,,,,,,,,,
2300,2300,RAM FASHION EXPORTS PRIVATE LIMITED,SMERA BB-/SMERA A4+,23-May-14,SMERA BB/SMERA A4+,21-Aug-15,Suspended,17-Nov-16,,,,,,
2301,2301,RAM SAROOP DEEPAK KUMAR,SMERA BB-,16-Feb-17,Indicative,29-Mar-18,,,,,,,,
2302,2302,RAMA RICE MILLS,SMERA B,01-Mar-16,Indicative,12-Jun-17,,,,,,,,
2303,2303,RAMA VISION LIMITED,SMERA BB+,17-Aug-15,SMERA BB,07-Nov-16,SMERA BB-,14-Feb-18,,,,,,
2304,2304,RAMA WINES,SMERA BB+,10-Feb-16,,,,,,,,,,
2305,2305,RAMAN FIBRESCIENCE PRIVATE LIMITED,SMERA BB+/SMERA A4+,21-Feb-13,Withdrawn,02-Apr-15,,,,,,,,
2306,2306,RAMCHANDRA DAHYABHAI NARROW FAB PRIVATE LIMITED,SMERA BB,09-May-16,Indicative,27-Sep-17,,,,,,,,
2307,2307,RAMESH KUMAR & CO,SMERA B/SMERA A4,24-Jul-14,SMERA B+/SMERA A4,28-Apr-16,,,,,,,,
2308,2308,RAMJEE LEATHERS & SUPPLIES,SMERA BB+/SMERA A4+,15-May-15,Suspended,04-Jul-16,,,,,,,,
2309,2309,RAMKA SILK HOUSE PRIVATE LIMITED,SMERA A4,12-Dec-14,Suspended,26-Dec-15,,,,,,,,
2310,2310,RAMPEX LABS PRIVATE LIMITED,SMERA BBB-/SMERA A3,03-Jun-14,SMERA BB/SMERA A4+,29-Apr-16,Indicative,11-Jul-17,SMERA D,27-Sep-17,"SMERAB+/SMERA A4",19-Jan-18,,
2311,2311,RAMRATI JAGDISH PRIVATE LIMITED,SMERA B-,26-May-15,Suspended,27-May-16,,,,,,,,
2312,2312,RAMSAYS CORPORATION PRIVATE LIMITED,SMERA BB+/SMERA A4+,05-Mar-15,Suspended,03-May-16,,,,,,,,
2313,2313,RAMSON AND BROS,SMERA BBB-,26-Dec-17,,,,,,,,,,
2314,2314,RAMVIJAY CLOTHING COMPANY PRIVATE LIMITED,SMERA B+/SMERA A4,27-Jan-15,Suspended,04-Mar-16,,,,,,,,
2315,2315,RANGANAYAKA SPINNING MILLS PRIVATE LIMITED,SMERA BB+/SMERA A4+,03-Aug-15,Suspended,13-Aug-16,,,,,,,,
2316,2316,RANI MOTORS,SMERA BB,07-Sep-16,,,,,,,,,,
2317,2317,RANKA JEWELLERS,SMERA BB,24-Jul-15,Suspended,09-Dec-16,,,,,,,,
2318,2318,RANSAN PACKAGING PRIVATE LIMITED,SMERA B-/SMERA A4,20-Nov-15,Indicative,15-Feb-17,,,,,,,,
2319,2319,RAPHA DIAGNOSTICS PRIVATE LIMITED,SMERA B/SMERA A4,31-Jan-18,,,,,,,,,,
2320,2320,RARE EARTH CONVEYORS PRIVATE LIMITED,SMERA BB+/SMERA A4+,10-Feb-14,SMERA BBB-/SMERA A3,09-Jul-15,Indicative,27-Dec-17,SMERA BBB-/SMERA A3,05-Feb-18,,,,
2321,2321,RAREWALA STEELS AND ALLOYS PRIVATE LIMITED,SMERA B/SMERA A4,01-Jun-17,,,,,,,,,,
2322,2322,RASHI GRANITE EXPORTS INDIA LIMITED,SMERA BB/SMERA A4+,12-Jan-17,,,,,,,,,,
2323,2323,RASHMI ISPAT LIMITED,SMERA BBB-/SMERA A3,23-Oct-17,,,,,,,,,,
2324,2324,RASHMI STEELS,SMERA BB,02-Nov-17,,,,,,,,,,
2325,2325,RASIK PRODUCTS PRIVATE LIMITED,SMERA B+/SMERA A4,08-Mar-16,Indicative,12-Jun-17,,,,,,,,
2326,2326,RASSCO STEELS LIMITED,SMERA BB,28-Mar-18,,,,,,,,,,
2327,2327,RATAN ALUMINIUM RECYCLING PRIVATE LIMITED,SMERA B+,07-Sep-17,,,,,,,,,,
2328,2328,RATAN KUMAR DAS,SMERA B+/SMERA A4,13-Nov-13,Suspended,08-Dec-14,,,,,,,,
2329,2329,RATANLAL RADHESHYAM,SMERA BB-,25-Feb-16,,,,,,,,,,
2330,2330,RATHI DYE CHEM PRIVATE LIMITED,SMERA BBB-/SMERA A3,31-Jan-17,,,,,,,,,,
2331,2331,RATILAL BHAGWANDAS CONSTRUCTION COMPANY,SMERA BB,05-Dec-17,,,,,,,,,,
2332,2332,"RATILAL BHAGWANDAS CONSTRUCTION COMPANY PRIVATELIMITED",SMERA BBB+,04-Dec-14,Indicative,18-Sep-17,,,,,,,,
2333,2333,RATNAPPRABBHA MOTORS,SMERA BB,27-Apr-15,Indicative,26-Oct-17,SMERA BB+,14-Mar-18,,,,,,
2334,2334,RAUT SERUMS INDIA PRIVATE LIMITED,SMERA B+,24-Jan-17,SMERA D,21-Mar-18,,,,,,,,
2335,2335,RAVI CONSTRUCTION COMPANY,SMERA B/SMERA A4,29-Nov-17,,,,,,,,,,
2336,2336,RAVI PUBLISHERS,SMERA BB-,29-Aug-17,,,,,,,,,,
2337,2337,RAVILEELA GRANITES LIMITED,SMERA BB-,05-Feb-18,,,,,,,,,,
2338,2338,RAVINDRA FEEDS INDIA PRIVATE LIMITED,SMERA B,08-Sep-15,SMERA D,21-Dec-16,Indicative,14-Mar-18,,,,,,
2339,2339,RAVINDRA HATCHERIES,SMERA B,08-Sep-15,SMERA D,21-Dec-16,Indicative,16-Mar-18,,,,,,
2340,2340,RAWALWASIA TEXTILE INDUSTRIES PRIVATE LIMITED,SMERA BB/SMERA A4+,13-Feb-18,,,,,,,,,,
2341,2341,RAWALWASIA YARN DYEING PRIVATE LIMITED,SMERA BB,13-Feb-18,,,,,,,,,,
2342,2342,RAWATSONS ENGINEERS PRIVATE LIMITED,SMERA BBB-/SMERA A3,21-Jan-15,,,,,,,,,,
